"receipt_id","supplier_id","warehouse_name","inbnd_type","inbnd_duration_min","started_at","sku_cnt","category_level4_cnt","start_hour","start_week","start_weekday"
"01003839388",e0126b4f-d4f1-11eb-85ac-1c34dae33151,РЦ СБЛ НН,Кросс-док,1.766561,2025-08-16 06:21:01.195,312.0,2,"6","33","6"
"01003848238",a6ef32dc-76e3-11e9-80c5-0cc47a817925,РЦ СБЛ УФА-2,Хранение от поставщика,61.65825723333333,2025-08-23 09:20:12.347,5974.0,6,"9","34","6"
"01003851546","141f3c79-76a9-11eb-85a3-1c34dae33151",РЦ СБЛ НН,Хранение от поставщика,6.380189966666666,2025-08-27 09:34:12.386,6048.0,1,"9","35","3"
"01003880568","3cd9aeaa-76f8-11ee-8860-08c0eb32014b",РЦ СБЛ КНД-3,Кросс-док,1.3880644166666667,2025-09-09 11:41:11.670,2808.0,1,"11","37","2"
"01003898173","875bbabf-ba1c-11eb-85ab-1c34dae33151",РЦ СБЛ ТМН,Хранение от поставщика,8.421654783333333,2025-09-12 06:47:54.979,1734.0,2,"6","37","5"
"01003660670",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,4.08125715,2025-05-19 09:10:23.150,1356.0,1,"9","21","1"
"01003696033",ac70539a-7305-11ee-8860-08c0eb32014b,РЦ СБЛ КСК,Хранение от поставщика,10.078959533333334,2025-06-10 02:33:39.083,480.0,1,"2","24","2"
"01003700173",c7da00ce-3602-11ee-885f-08c0eb32014b,РЦ СБЛ ВЛГ-2 WMS,Хранение от РЦ,2.3807672666666666,2025-06-01 07:54:35.155,1890.0,1,"7","22","0"
"01003700803","6d6798d6-3f3a-11e9-80c5-0cc47a817925",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,19.300605150000003,2025-06-10 10:47:24.437,12696.0,4,"10","24","2"
"01003703420",ded9af41-bbef-11ec-8857-08c0eb32014b,РЦ СБЛ ТМН,Хранение от поставщика,21.59657495,2025-06-10 10:15:48.964,2016.0,1,"10","24","2"
"01003735637","5c37154a-c40f-11ed-ae77-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Кросс-док,4.611353716666667,2025-06-23 08:46:19.866,1452.0,1,"8","26","1"
"01003743494",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ КСК,Хранение от поставщика,1.7457561333333333,2025-07-10 04:03:34.692,1764.0,1,"4","28","4"
"01003798613",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ ТМН,Кросс-док,11.67976945,2025-08-05 08:37:51.337,264.0,1,"8","32","2"
"01003840138",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ РНД-2,Хранение от поставщика,5.2148567,2025-08-22 13:11:22.428,1740.0,1,"13","34","5"
"01003583705","1f8687de-6074-11eb-85a3-1c34dae33151",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,0.7042660333333333,2025-04-09 06:06:18.471,1512.0,1,"6","15","3"
"01003605560","3cd9aeaa-76f8-11ee-8860-08c0eb32014b",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,2.57086025,2025-04-20 08:09:09.530,1344.0,1,"8","16","0"
"01003619163",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СДГ КСК,Хранение от поставщика,9.669649133333333,2025-05-08 04:58:13.290,3456.0,1,"4","19","4"
"01003753917","0bd913d9-4b82-11ec-85ad-1c34dae33151",РЦ СБЛ КСК,Хранение от поставщика,9.852816083333332,2025-07-02 04:53:49.472,1230.0,5,"4","27","3"
"01003756271",a122042b-f9c7-11ea-8599-1c34dae33151,РЦ СБЛ НН,Хранение от поставщика,9.322661933333334,2025-07-08 05:52:48.339,6080.0,2,"5","28","2"
"01003766690","718f5685-c732-11ed-ae77-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,8.2764153,2025-07-13 05:34:11.175,3456.0,1,"5","28","0"
"01003772339",f9b41e55-548c-11ea-879c-0050560306e1,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,7.637579349999999,2025-07-14 05:13:16.766,1824.0,1,"5","29","1"
"01003777001","875bbabf-ba1c-11eb-85ab-1c34dae33151",РЦ СБЛ РНД-2,Хранение от поставщика,2.5326611333333333,2025-07-17 05:59:54.157,1779.0,3,"5","29","4"
"01003840345",ded9af41-bbef-11ec-8857-08c0eb32014b,РЦ СБЛ ТМН,Хранение от поставщика,16.5351298,2025-08-19 07:54:20.439,1116.0,1,"7","34","2"
"01003856408","141f3c79-76a9-11eb-85a3-1c34dae33151",РЦ СБЛ ВРЖ Нечаевка,Хранение от поставщика,28.663120366666664,2025-09-08 06:45:15.556,9060.0,1,"6","37","1"
"01003870051","5710771d-887c-11eb-85a3-1c34dae33151",РЦ СБЛ ВРЖ Нечаевка,Кросс-док,19.070462466666665,2025-09-04 09:20:36.778,4608.0,5,"9","36","4"
"01003880678","3cd9aeaa-76f8-11ee-8860-08c0eb32014b",РЦ СБЛ УФА-2,Кросс-док,4.74617785,2025-09-09 09:37:22.766,2280.0,1,"9","37","2"
"01003891003",a6ef32dc-76e3-11e9-80c5-0cc47a817925,РЦ СБЛ ВРЖ Нечаевка,Хранение от поставщика,9.602153866666667,2025-09-13 09:11:38.684,4476.0,2,"9","37","6"
"01003893338","3f86f1f4-2a8e-11ed-b106-08c0eb31fffb",РЦ СБЛ НСК,Хранение от поставщика,17.247920383333334,2025-09-10 03:28:03.043,1536.0,2,"3","37","3"
"01003901072","31f2481e-b0d3-11ec-ae6d-08c0eb320147",РЦ СБЛ КНД-3,Хранение от поставщика,4.0661585166666665,2025-09-12 11:39:11.057,1428.0,2,"11","37","5"
"01003471089",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СДГ КСК,Кросс-док,3.2598082833333333,2025-02-20 08:35:27.375,60.0,1,"8","8","4"
"01003485837",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СДГ КСК,Кросс-док,7.1142601333333335,2025-02-27 06:33:14.663,912.0,1,"6","9","4"
"01003611779","1f8687de-6074-11eb-85a3-1c34dae33151",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,0.6313055999999999,2025-04-23 10:30:17.058,1512.0,1,"10","17","3"
"01003669118",b816da60-c690-11ea-b7de-0050560306e1,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,1.3801419000000001,2025-05-23 08:20:51.460,216.0,1,"8","21","5"
"01003688760",a122042b-f9c7-11ea-8599-1c34dae33151,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,4.7364582,2025-05-29 13:48:03.789,3920.0,2,"13","22","4"
"01003735644","5c37154a-c40f-11ed-ae77-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,1.18483465,2025-06-23 09:43:28.908,456.0,1,"9","26","1"
"01003815306",f9b41e55-548c-11ea-879c-0050560306e1,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,29.86771203333333,2025-08-04 14:50:33.565,1824.0,1,"14","32","1"
"01003826634","67e22ba2-008a-11ee-885e-08c0eb32014b",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,1.4036330333333333,2025-08-16 13:38:30.003,48.0,1,"13","33","6"
"01003831078","32b517cc-3d9f-11ee-ae78-08c0eb320147",РЦ СБЛ НН,Хранение от поставщика,2.0474803833333333,2025-08-12 05:07:33.948,1512.0,1,"5","33","2"
"01003840469",c1ae6f0a-ee93-11ea-8599-1c34dae33151,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,2.1574358166666667,2025-08-16 06:23:12.151,3033.0,2,"6","33","6"
"01003873067",f9b41e55-548c-11ea-879c-0050560306e1,РЦ СБЛ НСК,Хранение от поставщика,4.33564255,2025-09-08 06:32:58.982,1824.0,1,"6","37","1"
"01003886759","29966288-1e27-11ed-885a-08c0eb32014b",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,1.7635262500000002,2025-09-10 13:21:32.861,2520.0,2,"13","37","3"
"01003890994",a6ef32dc-76e3-11e9-80c5-0cc47a817925,РЦ СБЛ ВРЖ Нечаевка,Хранение от поставщика,12.374139033333334,2025-09-12 06:38:57.450,6228.0,5,"6","37","5"
"01003895113",a122042b-f9c7-11ea-8599-1c34dae33151,РЦ СБЛ СМР,Хранение от поставщика,2.7715745166666665,2025-09-16 04:21:47.817,3920.0,2,"4","38","2"
"01003899944",a0f1e6e9-5010-11f0-a97c-be3af2b6059f,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,3.5726041166666667,2025-09-15 09:59:32.883,1824.0,1,"9","38","1"
"01003634435",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СДГ КСК,Хранение от поставщика,6.316461133333333,2025-05-15 05:41:41.151,1596.0,1,"5","20","4"
"01003686225","4a4ffdc0-715c-11ed-b96e-08c0eb32008b",РЦ СБЛ КСК,Хранение от поставщика,20.95187728333333,2025-05-28 07:22:31.424,14976.0,2,"7","22","3"
"01003699159","8d590545-fff9-11eb-a0ee-ec0d9a21b021",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,9.28153395,2025-06-04 08:26:04.135,2412.0,2,"8","23","3"
"01003711738","3cd9aeaa-76f8-11ee-8860-08c0eb32014b",РЦ СБЛ ВЛГ-2 WMS,Кросс-док,2.11004925,2025-06-15 06:18:51.514,2196.0,1,"6","24","0"
"01003739236","718f5685-c732-11ed-ae77-08c0eb320147",РЦ СБЛ РНД-2,Хранение от поставщика,10.76923775,2025-06-27 07:02:18.348,4136.0,1,"7","26","5"
"01003767335",b816da60-c690-11ea-b7de-0050560306e1,РЦ СБЛ НН,Хранение от поставщика,1.1312138333333333,2025-07-12 14:00:49.259,216.0,1,"14","28","6"
"01003772722","8d590545-fff9-11eb-a0ee-ec0d9a21b021",РЦ СБЛ РНД-2,Хранение от поставщика,69.33392088333333,2025-07-10 10:24:37.711,4128.0,6,"10","28","4"
"01003831798","718f5685-c732-11ed-ae77-08c0eb320147",РЦ СБЛ НСК,Хранение от поставщика,14.4041818,2025-08-13 05:31:10.980,9600.0,1,"5","33","3"
"01003834190","875bbabf-ba1c-11eb-85ab-1c34dae33151",РЦ СБЛ ВЛГ-2 WMS,Кросс-док,2.728463683333333,2025-08-21 08:07:55.640,801.0,1,"8","34","4"
"01003837068","5c37154a-c40f-11ed-ae77-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,0.5326109,2025-08-15 14:43:47.379,120.0,1,"14","33","5"
