"receipt_id","supplier_id","warehouse_name","inbnd_type","inbnd_duration_min","started_at","sku_cnt","sku_volume","category_level4_cnt","start_hour","start_week","start_weekday"
"01003874048","141f3c79-76a9-11eb-85a3-1c34dae33151",РЦ СБЛ НСК,Хранение от поставщика,1.52772663333333,2025-09-07 05:07:23.028,1044.0,563.76,1,"5","36","0"
"01003880645","3cd9aeaa-76f8-11ee-8860-08c0eb32014b",РЦ СБЛ СМР,Кросс-док,5.85232655,2025-09-09 11:15:10.177,2208.0,1585.896,1,"11","37","2"
"01003910139",a122042b-f9c7-11ea-8599-1c34dae33151,РЦ СБЛ КНД-3,Хранение от поставщика,4.68034676666667,2025-09-17 12:11:10.063,3380.0,5375.946,2,"12","38","3"
"01003650100","1c8d2a76-0139-11ef-b10b-08c0eb31fffb",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,2.23775161666667,2025-05-17 06:56:31.119,2268.0,5302.433304,2,"6","20","6"
"01003700801","6d6798d6-3f3a-11e9-80c5-0cc47a817925",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,130.287750816667,2025-06-06 11:18:31.964,11520.0,15892.51710672,4,"11","23","5"
"01003807269","718f5685-c732-11ed-ae77-08c0eb320147",РЦ СБЛ НСК,Хранение от поставщика,42.4179116,2025-08-05 10:34:22.940,10784.0,34437.713952,1,"10","32","2"
"01003822238","0bd913d9-4b82-11ec-85ad-1c34dae33151",РЦ СБЛ КСК,Кросс-док,35.8784667166667,2025-08-06 02:17:22.428,1290.0,2905.913606796,7,"2","32","3"
"01003830384","8d590545-fff9-11eb-a0ee-ec0d9a21b021",РЦ СБЛ РНД-2,Хранение от поставщика,17.2338777,2025-08-07 11:42:16.918,2364.0,5317.02,3,"11","32","4"
"01003864128","8d590545-fff9-11eb-a0ee-ec0d9a21b021",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,5.5347789,2025-08-27 09:12:59.381,2808.0,15963.408,2,"9","35","3"
"01003870158","29966288-1e27-11ed-885a-08c0eb32014b",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,9.57814211666667,2025-08-29 08:13:28.786,4536.0,6447.37716,2,"8","35","5"
"01003875003","0bd913d9-4b82-11ec-85ad-1c34dae33151",РЦ СБЛ НСК,Хранение от поставщика,34.9980226166667,2025-09-02 07:29:42.135,4164.0,10302.567081192,7,"7","36","2"
"01003881879",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,17.5876743,2025-09-08 07:27:43.116,2904.0,1248.072,1,"7","37","1"
"01003904698","036140e6-3639-11f0-aa25-be3af2b6059f",РЦ СБЛ НСК,Хранение от поставщика,0.764986766666667,2025-09-16 08:44:51.702,1512.0,1033.95688704,1,"8","38","2"
"01003591927",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СДГ КСК,Кросс-док,4.93938091666667,2025-04-24 08:13:13.517,1536.0,742.1184,1,"8","17","4"
"01003593500","875bbabf-ba1c-11eb-85ab-1c34dae33151",РЦ СБЛ ТМН,Кросс-док,36.514046,2025-04-11 07:01:57.048,1773.0,4239.192375,3,"7","15","5"
"01003675152",c1ae6f0a-ee93-11ea-8599-1c34dae33151,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,4.51900328333333,2025-05-24 06:54:38.947,3138.0,6212.77578,3,"6","21","6"
"01003790932","875bbabf-ba1c-11eb-85ab-1c34dae33151",РЦ СБЛ РНД-2,Хранение от поставщика,7.00827381666667,2025-07-24 05:45:59.947,5556.0,12871.375125,3,"5","30","4"
"01003811585",e0126b4f-d4f1-11eb-85ac-1c34dae33151,РЦ СБЛ НН,Кросс-док,1.49293948333333,2025-08-02 08:30:40.150,288.0,448.416,2,"8","31","6"
"01003814840","29966288-1e27-11ed-885a-08c0eb32014b",РЦ СБЛ ТМН,Хранение от поставщика,4.71085538333333,2025-08-07 03:19:04.854,4032.0,6507.25992,3,"3","32","4"
