"receipt_id","start_hour","start_day","start_week","start_weekday","warehouse_name","supplier_id","inbnd_type","sku_category_level_4_nm","sku_category_cnt","inbnd_duration_min"
"01003786573","8","17","29","4",РЦ СБЛ РНД-2,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Газированные напитки от 0,8л",198.0,2.82473050805947
"01003895157","11","14","37","0",РЦ СБЛ ВЛГ-2 WMS,"3cd9aeaa-76f8-11ee-8860-08c0eb32014b",Хранение от поставщика,"Вкусовые питьевые воды менее 0,8л",1600.0,3.72051242282507
"01003637119","8","30","18","3",РЦ СБЛ ТМН,"875bbabf-ba1c-11eb-85ab-1c34dae33151",Кросс-док,"Газированные напитки менее 0,8л",120.0,0.427396619256658
"01003786573","8","17","29","4",РЦ СБЛ РНД-2,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Негазированные питьевые воды от 0,8л до 3л",294.0,4.19429681499739
"01003750826","5","4","27","5",РЦ СБЛ ВЛГ-2 WMS,b816da60-c690-11ea-b7de-0050560306e1,Хранение от поставщика,"Квас от 0,8л",432.0,2.2447274
"01003879077","7","9","37","2",РЦ СБЛ КНД-3,"6876d873-0939-11ef-8861-08c0eb32014b",Хранение от поставщика,Холодный кофе,600.0,5.38837265
"01003895656","7","11","37","4",РЦ СБЛ ВЛГ-2 WMS,dd0df3c5-e7cb-11ec-ae71-08c0eb320147,Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",1008.0,5.53735714885058
"01003895748","11","11","37","4",РЦ СБЛ КНД-3,"1bcc3845-fffb-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",1008.0,1.6288563
"01003821745","6","9","32","6",РЦ СБЛ НН,b816da60-c690-11ea-b7de-0050560306e1,Кросс-док,"Квас менее 0,8л",144.0,0.603886948484848
"01003880604","4","14","37","0",РЦ СБЛ НСК,"3cd9aeaa-76f8-11ee-8860-08c0eb32014b",Хранение от поставщика,Энергетические напитки,4716.0,5.37519553010526
"01003786573","8","17","29","4",РЦ СБЛ РНД-2,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Негазированные питьевые воды менее 0,8л",180.0,2.56793682550861
"01003761824","10","10","28","4",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Газированные напитки менее 0,8л",564.0,6.23505447461929
"01003637119","8","30","18","3",РЦ СБЛ ТМН,"875bbabf-ba1c-11eb-85ab-1c34dae33151",Кросс-док,"Газированные напитки от 0,8л",1377.0,4.90437620597015
"01003857166","8","24","34","0",РЦ СБЛ НСК,a6ef32dc-76e3-11e9-80c5-0cc47a817925,Хранение от поставщика,Негазированные питьевые воды от 3л,3396.0,32.7269036701695
"01003880604","4","14","37","0",РЦ СБЛ НСК,"3cd9aeaa-76f8-11ee-8860-08c0eb32014b",Хранение от поставщика,"Вкусовые питьевые воды менее 0,8л",984.0,1.12154206989474
"01003895656","7","11","37","4",РЦ СБЛ ВЛГ-2 WMS,dd0df3c5-e7cb-11ec-ae71-08c0eb320147,Хранение от поставщика,"Негазированные питьевые воды от 0,8л до 3л",1008.0,5.53735714885058
"01003895748","11","11","37","4",РЦ СБЛ КНД-3,"1bcc3845-fffb-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Негазированные питьевые воды от 0,8л до 3л",2016.0,3.2577126
"01003786573","8","17","29","4",РЦ СБЛ РНД-2,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Газированные питьевые воды менее 0,8л",216.0,3.08152419061033
"01003786573","8","17","29","4",РЦ СБЛ РНД-2,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,Негазированные питьевые воды от 3л,1800.0,25.6793682550861
"01003637119","8","30","18","3",РЦ СБЛ ТМН,"875bbabf-ba1c-11eb-85ab-1c34dae33151",Кросс-док,"Квас от 0,8л",1920.0,6.83834590810653
"01003761824","10","10","28","4",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Газированные напитки от 0,8л",114.0,1.26027696827411
"01003864004","6","31","35","0",РЦ СБЛ СМР,"718f5685-c732-11ed-ae77-08c0eb320147",Хранение от поставщика,"Газированные напитки от 0,8л",3072.0,109.040038533333
"01003761824","10","10","28","4",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",504.0,5.5717508071066
"01003821745","6","9","32","6",РЦ СБЛ НН,b816da60-c690-11ea-b7de-0050560306e1,Кросс-док,"Квас от 0,8л",648.0,2.71749126818182
"01003886853","6","11","37","4",РЦ СБЛ РНД-2,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",1512.0,4.0689565792633
"01003884915","10","9","37","2",РЦ СБЛ ВРЖ Нечаевка,"5710771d-887c-11eb-85a3-1c34dae33151",Кросс-док,"Газированные питьевые воды от 0,8л до 3л",912.0,4.31272420196079
"01003754641","6","5","27","6",РЦ СБЛ НН,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Воды минеральные от 0,8л до 3л",2520.0,6.2138479375
"01003753917","4","2","27","3",РЦ СБЛ КСК,"0bd913d9-4b82-11ec-85ad-1c34dae33151",Хранение от поставщика,"Воды минеральные от 0,8л до 3л",66.0,0.528687692276423
"01003886853","6","11","37","4",РЦ СБЛ РНД-2,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Воды минеральные от 0,8л до 3л",2016.0,5.42527543901774
"01003886853","6","11","37","4",РЦ СБЛ РНД-2,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Воды минеральные менее 0,8л",870.0,2.34126469838563
"01003842959","7","18","34","1",РЦ СБЛ РНД-2,c1ae6f0a-ee93-11ea-8599-1c34dae33151,Хранение от поставщика,"Воды минеральные менее 0,8л",1560.0,0.558003127862209
"01003816928","13","6","32","3",РЦ СБЛ ВЛГ-2 WMS,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Воды минеральные менее 0,8л",870.0,1.4175595406588
"01003842959","7","18","34","1",РЦ СБЛ РНД-2,c1ae6f0a-ee93-11ea-8599-1c34dae33151,Хранение от поставщика,"Воды минеральные от 0,8л до 3л",3375.0,1.20721830547112
"01003754641","6","5","27","6",РЦ СБЛ НН,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",1008.0,2.485539175
"01003804712","8","1","31","5",РЦ СБЛ ВЛГ-2 WMS,"5c37154a-c40f-11ed-ae77-08c0eb320147",Хранение от поставщика,"Газированные напитки от 0,8л",1608.0,8.92220528333333
"01003816928","13","6","32","3",РЦ СБЛ ВЛГ-2 WMS,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Негазированные питьевые воды от 0,8л до 3л",1008.0,1.64241381262537
"01003689438","7","30","22","5",РЦ СБЛ ВЛГ-2 WMS,dd0df3c5-e7cb-11ec-ae71-08c0eb320147,Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",1008.0,2.09142978092784
"01003753917","4","2","27","3",РЦ СБЛ КСК,"0bd913d9-4b82-11ec-85ad-1c34dae33151",Хранение от поставщика,"Квас от 0,8л",306.0,2.45118839146341
"01003799394","6","26","30","6",РЦ СБЛ ВЛГ-2 WMS,"32b517cc-3d9f-11ee-ae78-08c0eb320147",Хранение от поставщика,Энергетические напитки,7560.0,5.97637976666667
"01003825324","7","21","34","4",РЦ СБЛ КСК,a478fb2c-733c-11ea-bca4-0050560306e1,Хранение от поставщика,Энергетические напитки,3840.0,10.31509405
"01003884915","10","9","37","2",РЦ СБЛ ВРЖ Нечаевка,"5710771d-887c-11eb-85a3-1c34dae33151",Кросс-док,Негазированные питьевые воды от 3л,1080.0,5.10717339705882
"01003753917","4","2","27","3",РЦ СБЛ КСК,"0bd913d9-4b82-11ec-85ad-1c34dae33151",Хранение от поставщика,Безалкогольное пиво,60.0,0.480625174796748
"01003689438","7","30","22","5",РЦ СБЛ ВЛГ-2 WMS,dd0df3c5-e7cb-11ec-ae71-08c0eb320147,Хранение от поставщика,Негазированные питьевые воды от 3л,2640.0,5.47755418814433
"01003754641","6","5","27","6",РЦ СБЛ НН,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Негазированные питьевые воды от 0,8л до 3л",504.0,1.2427695875
"01003840469","6","16","33","6",РЦ СБЛ ВЛГ-2 WMS,c1ae6f0a-ee93-11ea-8599-1c34dae33151,Хранение от поставщика,"Негазированные питьевые воды от 0,8л до 3л",1008.0,0.717011309990109
"01003798633","10","4","32","1",РЦ СБЛ НСК,a478fb2c-733c-11ea-bca4-0050560306e1,Хранение от поставщика,Энергетические напитки,2460.0,7.66037655
"01003822537","5","12","33","2",РЦ СБЛ НСК,fe37e020-bf16-11ed-ae77-08c0eb320147,Кросс-док,"Соки и нектары более 0,5л и до 1,5л",3912.0,6.83352478333333
"01003753917","4","2","27","3",РЦ СБЛ КСК,"0bd913d9-4b82-11ec-85ad-1c34dae33151",Хранение от поставщика,Энергетические напитки,84.0,0.672875244715447
"01003735545","5","25","26","3",РЦ СБЛ НН,c1ae6f0a-ee93-11ea-8599-1c34dae33151,Хранение от поставщика,"Воды минеральные от 0,8л до 3л",1350.0,6.58999411666667
"01003816928","13","6","32","3",РЦ СБЛ ВЛГ-2 WMS,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",1512.0,2.46362071893805
"01003840469","6","16","33","6",РЦ СБЛ ВЛГ-2 WMS,c1ae6f0a-ee93-11ea-8599-1c34dae33151,Хранение от поставщика,"Воды минеральные от 0,8л до 3л",2025.0,1.44042450667656
"01003846734","6","22","34","5",РЦ СБЛ ВЛГ-2 WMS,b816da60-c690-11ea-b7de-0050560306e1,Хранение от поставщика,"Квас от 0,8л",1296.0,7.36086693333333
"01003753917","4","2","27","3",РЦ СБЛ КСК,"0bd913d9-4b82-11ec-85ad-1c34dae33151",Хранение от поставщика,"Газированные напитки от 0,8л",714.0,5.7194395800813
"01003689438","7","30","22","5",РЦ СБЛ ВЛГ-2 WMS,dd0df3c5-e7cb-11ec-ae71-08c0eb320147,Хранение от поставщика,"Негазированные питьевые воды от 0,8л до 3л",1008.0,2.09142978092784
"01003816928","13","6","32","3",РЦ СБЛ ВЛГ-2 WMS,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Негазированные питьевые воды менее 0,8л",228.0,0.371498362379548
"01003625407","6","1","18","4",РЦ СБЛ ВЛГ-2 WMS,"1f8687de-6074-11eb-85a3-1c34dae33151",Хранение от поставщика,Энергетические напитки,1512.0,14.2074875166667
"01003884915","10","9","37","2",РЦ СБЛ ВРЖ Нечаевка,"5710771d-887c-11eb-85a3-1c34dae33151",Кросс-док,"Негазированные питьевые воды от 0,8л до 3л",456.0,2.15636210098039
"01003816928","13","6","32","3",РЦ СБЛ ВЛГ-2 WMS,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Воды минеральные от 0,8л до 3л",6552.0,10.6756897820649
"01003833634","6","14","33","4",РЦ СБЛ ВЛГ-2 WMS,"9a44a5d4-6f14-11ed-b96e-08c0eb32008b",Кросс-док,Энергетические напитки,2328.0,4.36910916666667
"01003723753","11","19","25","4",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Газированные напитки от 0,8л",168.0,7.2427056774461
"01003897340","11","10","37","3",РЦ СБЛ КНД-3,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",4182.0,8.06270237335339
"01003852292","10","26","35","2",РЦ СБЛ УФА-2,"3cd9aeaa-76f8-11ee-8860-08c0eb32014b",Хранение от поставщика,Энергетические напитки,708.0,6.27813887055336
"01003843678","10","21","34","4",РЦ СБЛ НСК,"9a44a5d4-6f14-11ed-b96e-08c0eb32008b",Кросс-док,Энергетические напитки,3408.0,6.579399
"01003856724","10","21","34","4",РЦ СБЛ РНД-2,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",840.0,9.05495259174312
"01003856724","10","21","34","4",РЦ СБЛ РНД-2,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,Негазированные питьевые воды от 3л,2760.0,29.751987087156
"01003885630","11","7","36","0",РЦ СБЛ ВРЖ Нечаевка,a6ef32dc-76e3-11e9-80c5-0cc47a817925,Хранение от поставщика,Негазированные питьевые воды от 3л,3600.0,8.89663806338028
"01003902874","4","16","38","2",РЦ СБЛ СМР,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Вкусовые питьевые воды от 0,8л",414.0,0.954728393650794
"01003902874","4","16","38","2",РЦ СБЛ СМР,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Негазированные питьевые воды менее 0,8л",1512.0,3.48683413333333
"01003856724","10","21","34","4",РЦ СБЛ РНД-2,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Газированные напитки от 0,8л",84.0,0.905495259174312
"01003723753","11","19","25","4",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Вкусовые питьевые воды от 0,8л",84.0,3.62135283872305
"01003782246","6","16","29","3",РЦ СБЛ РНД-2,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",504.0,1.27874556166134
"01003878106","4","12","37","5",РЦ СБЛ КСК,fe37e020-bf16-11ed-ae77-08c0eb320147,Кросс-док,"Соки и нектары более 0,5л и до 1,5л",576.0,2.01010454666667
"01003723753","11","19","25","4",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Негазированные питьевые воды менее 0,8л",1512.0,65.1843510970149
"01003897340","11","10","37","3",РЦ СБЛ КНД-3,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,Негазированные питьевые воды от 3л,1800.0,3.47031665997994
"01003902874","4","16","38","2",РЦ СБЛ СМР,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Газированные напитки от 0,8л",42.0,0.0968565037037037
"01003871127","8","29","35","5",РЦ СБЛ СМР,e9e96750-80a9-11eb-85a3-1c34dae33151,Хранение от поставщика,"Негазированные питьевые воды от 0,8л до 3л",1008.0,2.74887881894737
"01003723753","11","19","25","4",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",504.0,21.7281170323383
"01003902874","4","16","38","2",РЦ СБЛ СМР,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",504.0,1.16227804444444
"01003878106","4","12","37","5",РЦ СБЛ КСК,fe37e020-bf16-11ed-ae77-08c0eb320147,Кросс-док,Морсы,144.0,0.502526136666667
"01003677891","8","23","21","5",РЦ СБЛ ТМН,"875bbabf-ba1c-11eb-85ab-1c34dae33151",Хранение от поставщика,"Квас от 0,8л",1536.0,4.50664219941003
"01003852292","10","26","35","2",РЦ СБЛ УФА-2,"3cd9aeaa-76f8-11ee-8860-08c0eb32014b",Хранение от поставщика,"Вкусовые питьевые воды менее 0,8л",304.0,2.69569804611331
"01003666013","7","20","21","2",РЦ СБЛ ВЛГ-2 WMS,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Воды минеральные менее 0,8л",870.0,0.61966252785357
"01003871127","8","29","35","5",РЦ СБЛ СМР,e9e96750-80a9-11eb-85a3-1c34dae33151,Хранение от поставщика,"Воды минеральные от 0,8л до 3л",4248.0,11.5845607369925
"01003666013","7","20","21","2",РЦ СБЛ ВЛГ-2 WMS,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",504.0,0.358976912687585
"01003856724","10","21","34","4",РЦ СБЛ РНД-2,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Негазированные питьевые воды менее 0,8л",240.0,2.58712931192661
"01003677891","8","23","21","5",РЦ СБЛ ТМН,"875bbabf-ba1c-11eb-85ab-1c34dae33151",Хранение от поставщика,"Газированные напитки от 0,8л",3888.0,11.4074380672566
"01003666013","7","20","21","2",РЦ СБЛ ВЛГ-2 WMS,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Воды минеральные от 0,8л до 3л",2016.0,1.43590765075034
"01003763515","8","10","28","4",РЦ СБЛ ВЛГ-2 WMS,"875bbabf-ba1c-11eb-85ab-1c34dae33151",Хранение от поставщика,"Газированные напитки от 0,8л",2988.0,9.49853588333333
"01003871127","8","29","35","5",РЦ СБЛ СМР,e9e96750-80a9-11eb-85a3-1c34dae33151,Хранение от поставщика,"Газированные напитки от 0,8л",2724.0,7.42851776072682
"01003902874","4","16","38","2",РЦ СБЛ СМР,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Негазированные питьевые воды от 0,8л до 3л",1200.0,2.76732867724868
"01003456394","5","13","7","4",РЦ СДГ КСК,a478fb2c-733c-11ea-bca4-0050560306e1,Кросс-док,Энергетические напитки,4920.0,17.00178915
"01003902874","4","16","38","2",РЦ СБЛ СМР,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Газированные напитки менее 0,8л",864.0,1.99247664761905
"01003723753","11","19","25","4",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Газированные напитки менее 0,8л",144.0,6.20803343781094
"01003782246","6","16","29","3",РЦ СБЛ РНД-2,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Воды минеральные менее 0,8л",870.0,2.20735841001065
"01003753180","9","6","27","0",РЦ СБЛ ВЛГ-2 WMS,"718f5685-c732-11ed-ae77-08c0eb320147",Хранение от поставщика,"Газированные напитки от 0,8л",3368.0,5.7680433
